Cluster ID,1
Center of Mass,"(1, 36, 9)"
Abler et al-From uncertainty to reward - B..,0
Cloutier et al-Are Attractive People Rewardin..,2
Delgado et al-Dorsal striatum responses to r..,0
Elliott et al-Dissociable Neural Responses i..,0
Jarcho et al-Developmental effects of decis..,0
Knutson et al-Dissociation of reward anticip..,0
Nieuwenhuis et al-Activity in human reward-sensi..,0
Signe Bray and John O'Doherty-Neural Coding of Reward-Predic..,1
Winston et al-Brain systems for assessing fa..,1
